함수	종류	영역	리전	경로·주기	파일	하는 일
createRealtimeRoom	onCall	방	asia-northeast3		room/realtime-room-functions.ts	태블릿이 방을 만들고 방 코드·컨트롤러 세션 발급. Admin SDK라 RTDB 보안 규칙을 우회
validateRealtimeRoom	onCall	방	asia-northeast3		room/realtime-room-functions.ts	입력한 방 코드가 유효한지 확인 (참가 전 사전 검사)
joinRealtimeRoom	onCall	방	asia-northeast3		room/realtime-room-functions.ts	휴대폰 참가·재접속. 기존 uid는 좌석과 게임 데이터를 유지하고 연결 상태만 복구
beginRealtimeRoomSeating	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	좌석 배치 단계 시작 (방 상태 → seating)
saveRealtimePlayerSeatIndexes	onCall	방	asia-northeast3		room/realtime-room-functions.ts	태블릿이 정한 좌석 번호 저장
selectRealtimeRoomGame	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	이 방에서 플레이할 게임 선택
fetchRealtimeRoomGroupEntitlements	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	방 참가자들이 합쳐서 보유한 유료 게임 ID를 서버가 계산. 클라이언트가 남의 /users 문서를 읽지 않게 하는 경계
resumeRealtimeControllerRoom	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	태블릿이 앱을 다시 켰을 때 자기 방으로 복귀
removeRealtimeRoomPlayer	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	태블릿이 특정 참가자를 내보냄
leaveRealtimeRoom	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	참가자가 스스로 방을 나감
closeRoom	onCall	방	asia-northeast3		room/realtime-room-lifecycle.ts	방을 닫음 (전원 퇴장)
syncRealtimeRoomGameStatus	RTDB 트리거	방	asia-southeast1	/rooms/{room}/game/public/status	room/realtime-room-lifecycle.ts	게임 상태를 방 상태에 반영 (대기실 복귀 판정)
cleanupDeletedRoomCreationRequest	RTDB 트리거	방	asia-southeast1	/rooms/{room} (삭제 시)	room/realtime-room-lifecycle.ts	방이 먼저 사라졌을 때 남은 생성 요청 기록을 재시도 가능하게 정리
cleanupStaleRealtimeRooms	주기	방	asia-northeast3	5분	room/realtime-room-lifecycle.ts	버려진 방 정리 (cleanupAt 인덱스 사용)
beginOnboarding	onCall	인증	asia-northeast3		auth/onboarding.ts	가입 절차 시작 (상태 문서 생성)
